"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 01 22:15:05 GMT 2023","Wed Feb 01 22:15:05 GMT 2023","70","tests","test_auth","TestBooking","","","Аутентификация в методе PUT /booking/:id с валидными данными",""
"passed","Wed Feb 01 22:15:03 GMT 2023","Wed Feb 01 22:15:03 GMT 2023","183","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","147","tests","test_booking","TestBooking","","","Успешное удаление бронирования",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","154","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","52","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","72","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:15:04 GMT 2023","Wed Feb 01 22:15:04 GMT 2023","199","tests","test_auth","TestBooking","","","Успешное создание токена аутентификации",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","166","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","330","tests","test_booking","TestBooking","","","Получение информации по бронированию с несуществующим id",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","51","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:14:53 GMT 2023","Wed Feb 01 22:14:53 GMT 2023","48","tests","test_auth","TestBooking","","","Удаление бронирования с невалидными данными аутентификации",""
"passed","Wed Feb 01 22:14:53 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","83","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","180","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:15:03 GMT 2023","9049","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","188","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","108","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","184","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:14:53 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","158","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:15:03 GMT 2023","Wed Feb 01 22:15:03 GMT 2023","61","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:15:03 GMT 2023","8940","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:14:53 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","164","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","63","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","176","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","53","tests","test_auth","TestBooking","","","Удаление бронирования с невалидными данными аутентификации",""
"passed","Wed Feb 01 22:14:53 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","133","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:14:53 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","266","tests","test_booking","TestBooking","","","Успешное создание бронирования",""
"passed","Wed Feb 01 22:14:53 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","127","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:15:05 GMT 2023","Wed Feb 01 22:15:05 GMT 2023","59","tests","test_auth","TestBooking","","","Аутентификация в методе PUT /booking/:id с валидными данными",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","171","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","169","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:14:54 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","159","tests","test_booking","TestBooking","","","Успешное обновление бронирования",""
"passed","Wed Feb 01 22:14:53 GMT 2023","Wed Feb 01 22:14:54 GMT 2023","87","tests","test_booking","TestBooking","","","Успешное получение информации по бронированию",""
