"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 16:43:32 GMT 2024","Sun Apr 21 16:43:32 GMT 2024","31","tests","test_auth","TestAuth","","","Удаление бронирования с невалидными данными аутентификации",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","74","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","162","tests","test_booking","TestBooking","","","Успешное создание бронирования",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","69","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","72","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","67","tests","test_booking","TestBooking","","","Успешное удаление бронирования",""
"passed","Sun Apr 21 16:43:32 GMT 2024","Sun Apr 21 16:43:32 GMT 2024","36","tests","test_auth","TestAuth","","","Аутентификация в методе PUT /booking/:id с валидными данными",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","38","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","68","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Sun Apr 21 16:43:32 GMT 2024","Sun Apr 21 16:43:32 GMT 2024","30","tests","test_auth","TestAuth","","","Удаление бронирования с невалидными данными аутентификации",""
"passed","Sun Apr 21 16:43:31 GMT 2024","Sun Apr 21 16:43:31 GMT 2024","152","tests","test_booking","TestBooking","","","Получение информации по бронированию с несуществующим id",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","75","tests","test_booking","TestBooking","","","Успешное обновление бронирования",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","75","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","69","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Sun Apr 21 16:43:32 GMT 2024","Sun Apr 21 16:43:32 GMT 2024","36","tests","test_auth","TestAuth","","","Аутентификация в методе PUT /booking/:id с валидными данными",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","32","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","77","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","131","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","135","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","36","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","136","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","41","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","128","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","114","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:31 GMT 2024","610","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","47","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Sun Apr 21 16:43:31 GMT 2024","Sun Apr 21 16:43:31 GMT 2024","37","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:31 GMT 2024","622","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Sun Apr 21 16:43:31 GMT 2024","Sun Apr 21 16:43:32 GMT 2024","115","tests","test_auth","TestAuth","","","Успешное создание токена аутентификации",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","130","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","34","tests","test_booking","TestBooking","","","Успешное получение информации по бронированию",""
"passed","Sun Apr 21 16:43:30 GMT 2024","Sun Apr 21 16:43:30 GMT 2024","138","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
