"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:23:20 GMT 2023","104093","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","192","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","72","tests","test_booking","TestBooking","","","Успешное получение информации по бронированию",""
"passed","Wed Feb 01 22:21:37 GMT 2023","Wed Feb 01 22:21:37 GMT 2023","220","tests","test_booking","TestBooking","","","Получение информации по бронированию с несуществующим id",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","27","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","73","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:23:21 GMT 2023","Wed Feb 01 22:23:21 GMT 2023","68","tests","test_auth","TestBooking","","","Успешное создание токена аутентификации",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","223","tests","test_booking","TestBooking","","","Успешное удаление бронирования",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:23:18 GMT 2023","102119","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","131","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:37 GMT 2023","76","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","128","tests","test_booking","TestBooking","","","Успешное обновление бронирования",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:37 GMT 2023","65","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:23:20 GMT 2023","Wed Feb 01 22:23:20 GMT 2023","17","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:37 GMT 2023","237","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","132","tests","test_booking","TestBooking","","","Успешное создание бронирования",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","195","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:21:37 GMT 2023","Wed Feb 01 22:21:37 GMT 2023","92","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:23:21 GMT 2023","Wed Feb 01 22:23:21 GMT 2023","11","tests","test_auth","TestBooking","","","Аутентификация в методе PUT /booking/:id с валидными данными",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","164","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","118","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","13","tests","test_auth","TestBooking","","","Удаление бронирования с невалидными данными аутентификации",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","139","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:21:37 GMT 2023","Wed Feb 01 22:21:37 GMT 2023","99","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:23:21 GMT 2023","Wed Feb 01 22:23:21 GMT 2023","19","tests","test_auth","TestBooking","","","Аутентификация в методе PUT /booking/:id с валидными данными",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:37 GMT 2023","40","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","7","tests","test_auth","TestBooking","","","Удаление бронирования с невалидными данными аутентификации",""
"passed","Wed Feb 01 22:21:37 GMT 2023","Wed Feb 01 22:21:37 GMT 2023","100","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","151","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:23:18 GMT 2023","Wed Feb 01 22:23:18 GMT 2023","73","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:37 GMT 2023","231","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Wed Feb 01 22:21:36 GMT 2023","Wed Feb 01 22:21:36 GMT 2023","72","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
