"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","184","tests","test_booking","TestBooking","","","Успешное удаление бронирования",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:03 GMT 2023","74","tests","test_booking","TestBooking","","","Успешное получение информации по бронированию",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","170","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Mon Feb 06 19:42:32 GMT 2023","Mon Feb 06 19:42:32 GMT 2023","53","tests","test_auth","TestAuth","","","Аутентификация в методе PUT /booking/:id с валидными данными",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","204","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:03 GMT 2023","89","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","267","tests","test_booking","TestBooking","","","Успешное обновление бронирования",""
"passed","Mon Feb 06 19:42:30 GMT 2023","Mon Feb 06 19:42:30 GMT 2023","47","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Mon Feb 06 19:42:30 GMT 2023","Mon Feb 06 19:42:30 GMT 2023","49","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","72","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","180","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","194","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","160","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","172","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Mon Feb 06 19:42:31 GMT 2023","Mon Feb 06 19:42:31 GMT 2023","203","tests","test_auth","TestAuth","","","Успешное создание токена аутентификации",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:03 GMT 2023","247","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","212","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Mon Feb 06 19:42:32 GMT 2023","Mon Feb 06 19:42:32 GMT 2023","48","tests","test_auth","TestAuth","","","Удаление бронирования с невалидными данными аутентификации",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:03 GMT 2023","235","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Mon Feb 06 19:42:31 GMT 2023","Mon Feb 06 19:42:31 GMT 2023","50","tests","test_auth","TestAuth","","","Аутентификация в методе PUT /booking/:id с валидными данными",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:03 GMT 2023","138","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:03 GMT 2023","234","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","498","tests","test_booking","TestBooking","","","Получение информации по бронированию с несуществующим id",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","202","tests","test_booking","TestBooking","","","Создание бронирования без обязательных параметров",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:03 GMT 2023","251","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:03 GMT 2023","100","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:42:30 GMT 2023","86193","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:41:03 GMT 2023","378","tests","test_booking","TestBooking","","","Успешное создание бронирования",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","189","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
"passed","Mon Feb 06 19:41:03 GMT 2023","Mon Feb 06 19:42:30 GMT 2023","86265","tests","test_booking","TestBooking","","","Успешное получение id бронирований",""
"passed","Mon Feb 06 19:42:32 GMT 2023","Mon Feb 06 19:42:32 GMT 2023","47","tests","test_auth","TestAuth","","","Удаление бронирования с невалидными данными аутентификации",""
"passed","Mon Feb 06 19:41:04 GMT 2023","Mon Feb 06 19:41:04 GMT 2023","151","tests","test_booking","TestBooking","","","Успешное частичное обновление бронирования",""
